time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,home_manager,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_goal_assist,statistics_big_chance_created,statistics_total_offside,statistics_hit_woodwork,statistics_big_chance_missed,statistics_punches,statistics_clearance_off_line,statistics_penalty_conceded,statistics_good_high_claim,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_penalty_won,statistics_error_lead_to_a_goal,statistics_penalty_miss,statistics_own_goals,statistics_penalty_save,statistics_penalty_shootout_save,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_error_lead_to_a_shot,statistics_last_man_tackle,statistics_expected_goals,statistics_expected_assists
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Filipe,1,G,FALSE,NA,19,11,14,6,NA,NA,NA,2,4,90,25,7.6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Guilherme Pacheco,2,D,FALSE,NA,43,27,5,1,8,2,NA,NA,NA,90,69,7.4,23,6,1,1,4,1,1,3,1,1,4,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Lucas Dias Costa,3,D,FALSE,NA,37,25,9,1,4,4,NA,NA,NA,90,49,7,13,NA,NA,2,3,NA,NA,2,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Cleberson,4,D,FALSE,NA,29,27,7,6,3,5,NA,NA,NA,90,34,7.1,2,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Roberto,6,D,FALSE,NA,24,18,3,1,4,NA,1,NA,NA,90,49,6.9,17,1,NA,NA,3,2,NA,1,NA,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Jorge Roa Jiménez,5,M,FALSE,NA,31,23,6,5,9,5,1,NA,NA,90,43,7.1,9,NA,NA,1,3,1,1,NA,1,NA,5,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Lucas Siqueira,8,M,FALSE,NA,29,23,2,1,4,1,NA,NA,NA,90,43,7,9,2,1,NA,1,1,1,1,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Gerson Magrão,10,M,FALSE,TRUE,36,29,4,3,9,NA,4,NA,NA,87,68,8,20,8,4,NA,8,1,1,NA,2,7,1,3,3,NA,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Igor Henrique,7,M,FALSE,NA,30,27,1,1,6,NA,1,NA,NA,83,51,6.8,12,2,NA,1,10,1,NA,NA,3,NA,3,2,2,2,NA,3,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Calyson Rosa,11,M,FALSE,NA,28,23,4,3,4,NA,1,NA,NA,87,49,7.6,12,1,1,3,8,2,2,NA,2,3,1,NA,NA,NA,NA,3,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
